core,depth_m,age_calBP,CO2_blank_corrected,CO2_blank_gravity_corrected,CO2_se_1sigma,notes
wais,2427.26,17297.23,195.78,194.72,0.46,MBB2014
wais,2428.26,17323.77,198.03,196.96,0.5,MBB2014
wais,2429.26,17347.36,196.5,195.44,0.05,MBB2014
wais,2430.26,17373.29,196.61,195.55,0.61,MBB2014
wais,2431.26,17399.5,197.4,196.33,0.39,MBB2014
wais,2432.28,17424.18,197.65,196.58,0.86,MBB2014
wais,2433.28,17451.47,202.02,200.92,0.24,MBB2014
wais,2434.27,17478.29,200.84,199.75,1.23,MBB2014
wais,2435.26,17503.28,198.24,197.17,0.56,MBB2014
wais,2436.34,17532.36,199.42,198.34,1.33,MBB2014
wais,2437.27,17557.63,196.54,195.48,0.56,MBB2014
wais,2438.26,17584.08,194.54,193.48,0.24,MBB2014
wais,2439.32,17611.76,195.43,194.37,0.33,MBB2014
wais,2440.27,17636.86,196.73,195.67,0.66,MBB2014
wais,2441.28,17664.09,192.25,191.21,1.24,MBB2014
wais,2442.27,17693.47,196.23,195.17,0.84,MBB2014
wais,2443.37,17722.84,194.53,193.48,1.19,MBB2014
wais,2444.28,17748.15,195.28,194.22,0.26,MBB2014
wais,2445.28,17776.82,196.75,195.68,0.98,MBB2014
wais,2446.27,17802.92,193.55,192.5,0.1,MBB2014
wais,2447.27,17833.6,193.67,192.62,0.78,MBB2014
wais,2448.27,17860.83,193.97,192.92,1.1,MBB2014
wais,2449.38,17895.59,192.79,191.75,0.5,MBB2014
wais,2450.28,17922.39,192.73,191.69,0.47,MBB2014
wais,2451.28,17952.41,193.65,192.6,1.48,MBB2014
wais,2452.28,17982.17,193.6,192.55,0.23,MBB2014
wais,2453.27,18014.61,189.86,188.84,1.13,MBB2014
wais,2454.28,18046.67,194.02,192.97,0.95,MBB2014
wais,2455.28,18078.15,190.64,189.61,0.47,MBB2014
wais,2456.28,18108.2,193.89,192.84,1.16,MBB2014
wais,2457.28,18140.46,193.53,192.48,0.19,MBB2014
wais,2458.28,18172.37,194.04,192.99,0.84,MBB2014
wais,2459.21,18201.2,192.12,191.08,0.18,MBB2014
wais,2460.28,18235.65,193.74,192.69,1.16,MBB2014
wais,2461.28,18268.68,193.22,192.17,0.75,MBB2014
wais,2462.28,18300.4,193.48,192.43,1.07,MBB2014
wais,2463.37,18335.43,192.45,191.41,0.7,MBB2014
wais,2464.27,18365.47,192.09,191.05,0.14,MBB2014
wais,2465.27,18397.79,192.67,191.63,0.62,MBB2014
wais,2467.31,18463.47,193.58,192.53,0.5,MBB2014
wais,2470.28,18559.82,198.94,197.86,1.01,MBB2014
wais,2472.45,18627.27,196.29,195.23,1.1,MBB2014
wais,2474.27,18685.06,198.01,196.94,0.82,MBB2014
wais,2475.28,18716.52,193.44,192.4,0.53,MBB2014
wais,2476.27,18747.46,193.51,192.46,1.75,MBB2014
wais,2480.29,18878.26,197.74,196.67,1.12,MBB2014
wais,2485.27,19038.22,196.11,195.05,0.84,MBB2014
wais,2489.28,19169.57,196.61,195.54,1.3,MBB2014
wais,2494.27,19331.73,196.54,195.48,0.25,MBB2014
wais,2498.28,19458.32,193.96,192.91,0.59,MBB2014
wais,2500.27,19524.02,196.44,195.38,0.53,MBB2014
wais,2505.27,19684.11,198.64,197.56,0.42,MBB2014
wais,2508.19,19778.4,201.1,200.02,0.75,MBB2014
wais,2512.29,19916.13,198.76,197.68,1.21,MBB2014
wais,2518.29,20111.41,195.49,194.43,0.65,MBB2014
wais,2524.29,20304.1,195.01,193.95,0.69,MBB2014
wais,2528.35,20431.75,198.96,197.89,0.93,MBB2014
wais,2532.4,20559.25,192.77,191.72,1.09,MBB2014
wais,2537.35,20718.6,197.69,196.62,0.82,MBB2014
wais,2541.3,20853.17,195.89,194.83,0.87,MBB2014
wais,2544.3,20955.2,193.41,192.36,0.07,MBB2014
wais,2548.5,21098.53,195.07,194.01,1.16,MBB2014
wais,2552.32,21230.7,192.24,191.2,0.31,MBB2014
wais,2558.44,21445.64,190.22,189.19,0.22,MBB2014
wais,2564.87,21670.9,192.96,191.92,0.95,MBB2014
wais,2568.34,21796.14,195.8,194.74,1.55,MBB2014
wais,2572.31,21936.38,192.38,191.34,0.99,MBB2014
wais,2577.3,22109.17,196.29,195.23,1.3,MBB2014
wais,2581.31,22246.35,197.11,196.04,0.75,MBB2014
wais,2588.42,22491.37,198.99,197.91,1.31,MBB2014
wais,2590.31,22554.91,194.98,193.93,1.26,MBB2014
wais,2592.31,22626.69,196.26,195.2,1.19,MBB2014
wais,2594.97,22718.88,201.04,199.96,0.85,MBB2014
wais,2597.32,22799.75,201.01,199.93,0.19,MBB2014
wais,2598.42,22841.14,199.98,198.9,0.69,MBB2014
wais,2600.32,22910.15,198.59,197.51,0.79,MBB2014
wais,2604.26,23048.53,201.88,200.79,0.2,BMB2021
wais,2606.64,23134.69,197.63,196.56,0.52,BMB2021
wais,2608.32,23192.42,200.23,199.14,1.37,BMB2021
wais,2610.34,23264.48,196.11,195.05,0.82,BMB2021
wais,2612.33,23335.19,198.08,197,0.27,BMB2021
