"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"56","7A",228,1,27,"2B",78,228,4154,3648.9,4796,25.5,1.05882352941176
"57","7A",232,1,59,"2B",82,232,4247.5,3705.95,4896.05,25,2.36
"58","7A",236,1,34,"2B",86,236,4356,3771.65,5008.2,23.5,1.4468085106383
"59","7A",240,1,29,"2B",90,240,4444,3831.75,5117.25,18,1.61111111111111
"60","7A",244,1,27,"2B",94,244,4526,3904.85,5195.05,21,1.28571428571429
"61","7A",248,1,23,"2B",98,248,4631.5,3999.9,5280.1,30,0.766666666666667
"62","7A",252,1,36,"2B",102,252,4741,4111.25,5387.1,13,2.76923076923077
"63","7A",256,1,59,"2B",106,256,4838,4200.65,5459.05,20.5,2.8780487804878
"64","7A",260,1,27,"2B",110,260,4935.5,4270.95,5530.2,27.5,0.981818181818182
"65","7A",264,1,25,"2B",114,264,5021,4355.85,5590.1,20.5,1.21951219512195
"66","7A",268,1,26,"2B",118,268,5124,4461.95,5644,28.5,0.912280701754386
"67","7A",272,1,19,"2B",122,272,5216,4542.8,5694.1,24,0.791666666666667
"68","7A",276,1,32,"2B",126,276,5302,4654.95,5736,19.5,1.64102564102564
"69","7A",284,1,27,"2B",134,284,5501.5,4920,5821.05,21,1.28571428571429
"70","7A",289,1,43,"2B",139,289,5631.5,5111.55,5862.15,25.5,1.68627450980392
"71","7A",292,1,25,"2B",142,292,5710,5243.85,5887,26,0.961538461538462
"72","7A",296,1,29,"2B",146,296,5825.5,5484.65,5912.05,32.5,0.892307692307692
"73","7A",300,1,20,"3B",0,300,5991,5931,6421.05,67,0.298507462686567
"74","7A",304,1,50,"3B",4,304,6218,5983.95,7056.25,55,0.909090909090909
"75","7A",308,1,110,"3B",8,308,6408,6035,7448.25,38,2.89473684210526
"76","7A",312,1,36,"3B",12,312,6604,6086,7737.3,50.5,0.712871287128713
"77","7A",316,1,101,"3B",16,316,6799,6135.95,7933.1,47,2.14893617021277
"78","7A",320,1,110,"3B",20,320,6959,6192,8109.6,44.5,2.47191011235955
"79","7A",324,1,150,"3B",24,324,7136,6302.8,8299.45,50.5,2.97029702970297
"80","7A",328,1,136,"3B",28,328,7325.5,6394.9,8497.1,49.5,2.74747474747475
"81","7A",332,1,102,"3B",32,332,7517,6494.95,8702.25,49,2.08163265306122
"82","7A",336,1,173,"3B",36,336,7695.5,6604.9,8877.15,48,3.60416666666667
"83","7A",340,1,212,"3B",40,340,7862,6700.4,9047.65,48.5,4.37113402061856
"84","7A",344,1,261,"3B",44,344,8054.5,6854.85,9225,50,5.22
"85","7A",348,1,292,"3B",48,348,8246,6957.9,9396.65,38,7.68421052631579
"86","7A",352,1,185,"3B",52,352,8416,7106.95,9562.05,41,4.51219512195122
"87","7A",356,1,357,"3B",56,356,8572.5,7260.85,9707,40.5,8.81481481481481
"88","7A",360,1,754,"3B",60,360,8750,7411.8,9829,54.5,13.8348623853211
"89","7A",364,1,2119,"3B",64,364,8916,7608.5,9927.05,40.5,52.320987654321
"90","7A",368,1,107,"3B",68,368,9088.5,7814.45,10004.05,43.5,2.45977011494253
"91","7A",372,1,140,"3B",72,372,9257,8032.85,10105.15,39.5,3.54430379746835
"92","7A",376,1,520,"3B",76,376,9431.5,8282.75,10221.05,48,10.8333333333333
"93","7A",380,1,846,"3B",80,380,9616,8542.75,10308.45,61,13.8688524590164
"94","7A",384,1,355,"3B",84,384,9807,8768.95,10390,44.5,7.97752808988764
"95","4A",288,1,59,"1B",97,425,12079.5,11919,12388.25,20.5,2.8780487804878
"96","4A",289,1,54,"1B",98,426,12097,11927,12418.05,17.5,3.08571428571429
"97","4A",290,1,45,"1B",99,427,12115,11935.9,12449,18,2.5
"98","4A",291,1,69,"1B",100,428,12131,11945,12465.15,16,4.3125
"99","4A",292,1,43,"1B",101,429,12149.5,11952.95,12487,18.5,2.32432432432432
"100","4A",293,1,45,"1B",102,430,12169.5,11960,12519,20,2.25
"101","4A",294,1,41,"1B",103,431,12188,11967.95,12542.2,18.5,2.21621621621622
"102","4A",295,1,25,"1B",104,432,12204,11980.85,12567.05,16,1.5625
"103","4A",296,1,76,"1B",105,433,12221,11990.85,12580.1,17,4.47058823529412
"104","4A",297,1,98,"1B",106,434,12236,12000.95,12596.1,15,6.53333333333333
"105","4A",298,1,75,"1B",107,435,12254.5,12007.9,12608.05,18.5,4.05405405405405
