"","ngroups","topic","taxa","beta"
"213",4,"2","Orchidaceae",0.000196645919106251
"214",4,"2","Taxus",0.000163563448288191
"215",4,"2","Bursera",7.5620447381768e-67
"216",4,"2","Platanus",0.000684873483738531
"217",4,"2","Ledum.type",1.20167465866285e-37
"218",4,"2","Cichorioideae",0.000120645263519048
"219",4,"2","Bromeliaceae",1.92812707617898e-33
"220",4,"2","Anacardiaceae.undiff.",0.000164909776770408
"221",4,"2","Impatiens",1.00388970951346e-37
"222",4,"2","Phoradendron",7.15663142022585e-75
"223",4,"2","Campanulaceae",2.34625863227701e-59
"224",4,"2","Beta.vulgaris.type",0.00248889768144913
"225",4,"2","Froelichia.type",0.00020556052448466
"226",4,"2","Abies",3.76781315397148e-65
"227",4,"2","Dalea.undiff.",2.91495415345281e-66
"228",4,"2","Scrophulariaceae.type",1.50253636494374e-05
"229",4,"2","cf..Physalis",1.56484995194728e-48
"230",4,"2","Thalictrum",0.00356776015995896
"231",4,"2","Dodonaea",0.000300712262520378
"232",4,"2","Solanaceae.undiff.",2.72853757637158e-17
"233",4,"2","Dalea.purpurea",0.000235119843082559
"234",4,"2","cf..Hypericum",0.000779051774675835
"235",4,"2","Lupinus.type",1.42615658338167e-60
"236",4,"2","Paronychia.americana",0.00144590872681284
"237",4,"2","Eryngium.type",0.000597889384423021
"238",4,"2","Sisyrinchium",6.94600192934052e-14
"239",4,"2","Fagus",5.14303735668797e-05
"240",4,"2","Myrtaceae.undiff.",1.42418848084237e-07
"241",4,"2","cf..Verbenaceae",2.02743569054445e-72
"242",4,"2","Ludwigia.type",4.31349680335585e-29
"243",4,"2","Gentianaceae.undiff.",3.20820233412268e-73
"244",4,"2","Pinaceae..vesiculate..undiff.",5.4843732715849e-06
"245",4,"2","Rumex",0.0150068393117379
"246",4,"2","Corylus",0.000403128605019471
"247",4,"2","Ceanothus",3.63226263443645e-15
"248",4,"2","Viburnum",0.000166878094656545
"249",4,"2","Symplocos",0.00035987009079428
"250",4,"2","Plantago",0.000268953447126167
"251",4,"2","Caryophyllaceae",0.000575875859563407
"252",4,"2","Ximenia",2.49486608712445e-15
"253",4,"2","Osmanthus",0.0018826741238883
"254",4,"2","Hedyosmum",7.30233926036305e-18
"255",4,"2","Fraxinus.pennsylvanica.type",0.00478744561833954
"256",4,"2","Parthenocissus",0.000156413389625428
"257",4,"2","Acer.negundo.type",0.0005238927315109
"258",4,"2","Brassicaceae.undiff.",0.000537906894252454
"259",4,"2","Dalea",0.000107581310686842
"260",4,"2","Gomphrena.type",5.3790689425358e-05
"261",4,"2","Lamiaceae",0.000215151355225009
"262",4,"2","Xanthium",0.000161372068276037
"263",4,"2","Fraxinus.nigra.type",0.000753903679538097
"264",4,"2","Polygalaceae",0.000161372068275496
"265",4,"2","Dianthus.type",5.37906894253583e-05
"266",4,"2","Arceuthobium.Loranthaceae",5.37906894252897e-05
"267",4,"2","Sapindus",5.37906894251903e-05
"268",4,"2","Piperaceae.type",0.000107581378850717
"269",4,"2","Picea",5.37906770460598e-05
"270",4,"2","Dalea.candida.type",0.000139137473224154
"271",4,"2","Sambucus",0.000344453277728833
"272",4,"2","Sanguisorba",0.000107581375393173
"273",4,"2","Cyclachaena.xanthiifolia.type",0.00032274413655215
"274",4,"2","Persicaria.amphibia",0.000268953447126791
"275",4,"2","Larix.Pseudotsuga",0.000107581197827877
"276",4,"2","Rubiaceae.undiff.",5.37906893723494e-05
"277",4,"2","Onagraceae",0.000161372068276075
"278",4,"2","Apocynum",5.37906894253583e-05
"279",4,"2","Hedysarum",0.00065743360062336
"280",4,"2","Saxifraga.type",3.26615868469241e-15
"281",4,"2","Tsuga",6.107452600164e-17
"282",4,"2","Polygonum.tenue.type",1.2781433203158e-21
"283",4,"2","Berberidaceae",1.65629874862408e-20
"284",4,"2","Zanthoxylum.type",1.8520106243712e-18
"285",4,"2","Malvaceae",5.37906894253583e-05
"286",4,"2","Avena.type",5.37906894253583e-05
"287",4,"2","Acer.undiff.",0.000161372068276075
"288",4,"2","cf..Oxalis",0.000107581378808399
"289",4,"2","Rosaceae.undiff.",0.000107581378850717
"290",4,"2","Clethra",0.000107581378850715
"291",4,"2","Magnolia",0.000107581378850717
"292",4,"2","cf..Weinmannia",5.37906894253583e-05
"293",4,"2","Gentiana.andrewsii.type",0.000137539632874489
"294",4,"2","Rhamnaceae.undiff.",5.37906894253583e-05
"295",4,"2","Juglans.nigra.type",7.5966035831031e-05
"296",4,"2","Shepherdia.canadensis",5.37906894249201e-05
"297",4,"2","Trifolium.repens.type",4.59480399259842e-35
"298",4,"2","Brassica",4.36793523936319e-53
"299",4,"2","Galium",5.37866891728824e-05
"300",4,"2","Euphorbia",3.26331298394911e-06
"301",4,"2","Solanum.rostratum",9.59310542351267e-07
"302",4,"2","Rutaceae.undiff.",5.37906894253582e-05
"303",4,"2","Cedrus",0.000107581378850717
"304",4,"2","Engelhardia.type",5.37851369443152e-05
"305",4,"2","Moraceae.undiff.",2.14967668690002e-11
"306",4,"2","Cistaceae",5.60455037240538e-12
"307",4,"3","Alnus.incana.type",0.00109150238617192
"308",4,"3","Cyrilla.racemiflora",0.000104588582209021
"309",4,"3","Fraxinus.undiff.",0.00200915529976976
"310",4,"3","Nyssa",0.000477166393917349
"311",4,"3","Asteroideae.undiff.",0.0047625876415251
"312",4,"3","Iva.frutescens.type",0.000647975603976828
"313",4,"3","Byrsonima",5.79570590746323e-05
"314",4,"3","Carya",0.00641184612363617
"315",4,"3","Taxodium",0.00189897316588902
"316",4,"3","Xyris",0.00109350174442509
"317",4,"3","Amaranthaceae.undiff.",0.0262517855547558
"318",4,"3","Myrica",0.012551993492265
"319",4,"3","Cupressaceae.undiff.",0.00392098491506603
"320",4,"3","Cyperaceae",0.00785369638802765
"321",4,"3","Ambrosia.type",0.000141464572046903
"322",4,"3","Pinus",0.850440427029457
"323",4,"3","Quercus",0.0199904914445596
"324",4,"3","Poaceae",0.046131810776213
"325",4,"3","Acer.saccharum.type",0.000271417263687536
"326",4,"3","Ostrya.Carpinus",0.00262634289471525
"327",4,"3","Ulmus",0.00153654741109562
"328",4,"3","Vitis",0.000426409602446941
"329",4,"3","Rhexia.type",0.0013968475494312
"330",4,"3","Podocarpus",0.000104424643746716
"331",4,"3","Polygonum.polygamum.type",6.04651556041081e-05
"332",4,"3","Betula",0.000273708301401314
"333",4,"3","Celtis",0.000310107465751919
"334",4,"3","Cephalanthus",0.000157607527934459
"335",4,"3","Polygonum.delopyrum.type",0.000200685226630766
"336",4,"3","Ericaceae",0.000745971543005325
"337",4,"3","Artemisia",4.65015274128659e-06
"338",4,"3","Liquidambar",0.00152261103624063
"339",4,"3","mimosoid.clade",0.000148469511245273
"340",4,"3","Polygonum.fimbriatum.type",4.71018296051679e-05
"341",4,"3","Rhus",4.50652011216873e-05
"342",4,"3","Urticaceae.undiff.",8.38021175865491e-05
"343",4,"3","Populus",2.94298105095912e-05
"344",4,"3","Chamaecyparis.type",3.82993177984421e-05
"345",4,"3","Apiaceae",0.000250500525653604
"346",4,"3","Salix",0.000302532860058681
"347",4,"3","Tilia",9.57882670648367e-05
"348",4,"3","Chamaecrista.type",9.18443733245491e-05
"349",4,"3","Paronychia.chartacea",1.11632953605466e-06
"350",4,"3","Urtica.type",6.95457796103959e-05
"351",4,"3","Trema",3.42099501950427e-05
"352",4,"3","Acer.rubrum",2.20307817311573e-05
"353",4,"3","Gordonia",0.000136836614022267
"354",4,"3","Chamaecrista.fasciculata.type",0.000117472916092144
"355",4,"3","Ranunculaceae.undiff.",4.11770932127454e-05
"356",4,"3","Ilex",0.000138014337675275
"357",4,"3","Morus",2.73659334107599e-05
"358",4,"3","Tillandsia",6.37612718638024e-06
"359",4,"3","Ceratiola.ericoides.type",0.00014978787073153
"360",4,"3","Combretaceae.Melastomataceae.undiff.",0.000187527996227981
"361",4,"3","Acalypha.type",3.12552313855707e-05
"362",4,"3","cf..Araliaceae",2.53365002373685e-05
"363",4,"3","Urticalean.Rosids.undiff.",0.000105057748860908
"364",4,"3","Fabaceae.undiff.",0.00011273413748366
"365",4,"3","Lechea",1.32803637228684e-05
"366",4,"3","Orchidaceae",0.000166896304743523
"367",4,"3","Taxus",6.11293294496968e-05
"368",4,"3","Bursera",9.376531113811e-05
"369",4,"3","Platanus",0.000166989783557263
"370",4,"3","Ledum.type",6.25104627711346e-05
"371",4,"3","Cichorioideae",5.05306035716136e-05
"372",4,"3","Bromeliaceae",1.52236467255129e-08
"373",4,"3","Anacardiaceae.undiff.",4.0884627193205e-05
"374",4,"3","Impatiens",2.69794427444468e-21
"375",4,"3","Phoradendron",4.46257815810383e-22
"376",4,"3","Campanulaceae",6.17892834114422e-12
"377",4,"3","Beta.vulgaris.type",6.90268313167093e-13
"378",4,"3","Froelichia.type",7.05233390045297e-15
"379",4,"3","Abies",3.98456264422332e-16
"380",4,"3","Dalea.undiff.",2.73754271199605e-15
"381",4,"3","Scrophulariaceae.type",2.08157525491424e-12
"382",4,"3","cf..Physalis",3.62703201691311e-13
"383",4,"3","Thalictrum",2.96427079212608e-09
"384",4,"3","Dodonaea",0.000152874302634354
"385",4,"3","Solanaceae.undiff.",2.44695689169021e-19
"386",4,"3","Dalea.purpurea",1.04530672652492e-14
"387",4,"3","cf..Hypericum",1.55450456986092e-06
"388",4,"3","Lupinus.type",2.92212087337352e-18
