"","sample","age","1","2","3","4"
"128",128,29088,0.119083444263866,0.385882553857515,0.330860287363949,0.16417371451467
"129",129,29282,0.0921075701023526,0.333629050845621,0.481120237114743,0.0931431419372827
"130",130,29971,0.128399648679903,0.227747064799277,0.593697803456824,0.0501554830639965
"131",131,30282,0.0867861422433149,0.33319271976071,0.489015604054233,0.0910055339417423
"132",132,30627.5,0.291675459397496,0.191107284523274,0.343314018659152,0.173903237420078
"133",133,31228,0.224575039685686,0.247080018319886,0.473932134102691,0.054412807891737
"134",134,31546.5,0.408678290519254,0.48150011351623,0.0720726417145358,0.0377489542499794
"135",135,31893.5,0.209704329175649,0.123265512274665,0.602594801549795,0.0644353569998908
"136",136,34154.5,0.369733425503358,0.29735827425333,0.119309304857122,0.21359899538619
"137",137,34587,0.419793096189722,0.161331301721906,0.259384145983849,0.159491456104523
"138",138,34956,0.119560176164024,0.645804727420702,0.016539670740175,0.2180954256751
"139",139,35294,0.140904608498889,0.354020254918603,0.197383395409154,0.307691741173353
"140",140,35667.5,0.0350751778241294,0.593187032170582,0.00706287217410698,0.364674917831181
"141",141,36228,0.0397583045925057,0.167663802619207,0.487879384032271,0.304698508756016
"142",142,36602,0.0538487933404118,0.0534319682984345,0.811687084315028,0.0810321540461257
"143",143,37603,0.0205569498262842,0.104177329271854,0.776169057642241,0.0990966632596212
