"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"252","4A",629,23.41666667,"4L",88,767,21127,20390.85,21689.1,47.5
"253","4A",633,25.17665533,"4L",92,771,21432.5,20791.95,21925.1,119.5
"254","4A",637,23.27848873,"4L",96,775,21608.5,21031.85,22078.35,32.5
"255","4A",641,20.9461385,"5L",0,779,21722.5,21156.75,22169.05,26
"256","4A",645,23.66109379,"5L",4,783,21822,21275,22261,23.5
"257","4A",649,20.17948718,"5L",8,787,21914.5,21402,22341.1,21.5
"258","4A",653,15.67701863,"5L",12,791,22012,21542.9,22426.1,25
"259","4A",657,18.10788832,"5L",16,795,22128,21704.9,22530.15,30.5
"260","4A",661,22.92072323,"5L",20,799,22297.5,21901.45,22684.05,62.5
"261","4A",665,22.76022035,"5L",24,803,22622,22220.9,23211.65,64
"262","4A",685,11.03688239,"5L",44,823,23900.5,23798,24200.1,64.5
"263","4A",689,11.75098672,"5L",48,827,24069,23854.95,24565.2,41.5
"264","4A",693,10.96984515,"5L",52,831,24203,23909.9,24758.25,33.5
"265","4A",697,9.266578832,"5L",56,835,24346.5,23959.85,24941.3,39.5
"266","4A",701,8.784194529,"5L",60,839,24484,24011.8,25114.2,38
"267","4A",705,8.125800484,"5L",64,843,24703.5,24127.85,25407.25,83.5
"268","4A",709,9.635907094,"5L",68,847,24924,24306.9,25648.45,32
"269","4A",713,10.62766154,"5L",72,851,25027.5,24403,25799.05,28.5
"270","4A",717,9.524819686,"5L",76,855,25142,24483.9,25943.15,29.5
"271","4A",721,9.721931842,"5L",80,859,25261,24572.9,26081.2,30
"272","4A",725,10.53496011,"5L",84,863,25385.5,24639.75,26201.2,32
"273","4A",729,11.28136798,"5L",88,867,25488,24717.2,26326.05,20
"274","4A",741,12.78061792,"6L",0,879,25835.5,24973.85,26651.15,39
"275","4A",745,16.51738672,"6L",4,883,25946,25091,26721.05,29.5
"276","4A",749,12.25651127,"6L",8,887,26054.5,25226.55,26806.15,28.5
"277","4A",753,10.50087024,"6L",12,891,26170.5,25293.35,26881,33
"278","4A",757,10.72164948,"6L",16,895,26290,25399.6,26949.1,34
"279","4A",761,14.53775582,"6L",20,899,26394,25541.8,27023.05,23
"280","4A",765,11.83407889,"6L",24,903,26501.5,25642.65,27092.6,34
"281","4A",769,13.42340379,"6L",28,907,26608,25751.7,27176.35,27.5
"282","4A",781,11.78027796,"6L",40,919,26914,26223.15,27389,25
