"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"29","7A",120,1,54,"1B",120,120,1709.5,1358,2205.1,29.5,1.83050847457627
"30","7A",124,1,26,"1B",124,124,1795.5,1393.9,2315.05,25,1.04
"31","7A",128,1,56,"1B",128,128,1881,1427.9,2413.05,22,2.54545454545455
"32","7A",132,1,94,"1B",132,132,1963.5,1482.7,2524.4,22.5,4.17777777777778
"33","7A",136,1,31,"1B",136,136,2059,1529.9,2576.2,25.5,1.2156862745098
"34","7A",140,1,89,"1B",140,140,2129,1594.95,2677.05,20,4.45
"35","7A",144,1,104,"1B",144,144,2214.5,1683.75,2771.15,22.5,4.62222222222222
"36","7A",148,1,45,"1B",148,148,2296,1742,2860.2,14.5,3.10344827586207
"37","7A",152,1,77,"2B",2,152,2378.5,1798.7,2937.6,17,4.52941176470588
"38","7A",156,1,39,"2B",6,156,2469.5,1862.95,3014,21,1.85714285714286
"39","7A",160,1,33,"2B",10,160,2547,1930.85,3083.2,20.5,1.60975609756098
"40","7A",164,1,33,"2B",14,164,2635,1988.85,3147.05,21.5,1.53488372093023
"41","7A",168,1,84,"2B",18,168,2713.5,2091.75,3184.1,18.5,4.54054054054054
"42","7A",172,1,47,"2B",22,172,2802,2183.9,3235,23,2.04347826086957
"43","7A",176,1,47,"2B",26,176,2896,2311.95,3273,28.5,1.64912280701754
"44","7A",180,1,75,"2B",30,180,2986,2425.85,3303.05,22,3.40909090909091
"45","7A",184,1,52,"2B",34,184,3068.5,2559.3,3333,19.5,2.66666666666667
"46","7A",188,1,34,"2B",38,188,3147,2686,3363,14,2.42857142857143
"47","7A",192,1,78,"2B",42,192,3237,2828.7,3390.05,24,3.25
"48","7A",196,1,52,"2B",46,196,3337,3012.65,3421.05,26,2
"49","7A",200,1,97,"2B",50,200,3463,3416,3685.5,43,2.25581395348837
"50","7A",204,1,71,"2B",54,204,3588,3450.95,3978.05,32.5,2.18461538461538
"51","7A",208,1,60,"2B",58,208,3698,3482,4229.15,25.5,2.35294117647059
"52","7A",212,1,70,"2B",62,212,3795,3512.95,4370.2,25.5,2.74509803921569
"53","7A",216,1,39,"2B",66,216,3896,3543.95,4487.1,21.5,1.81395348837209
"54","7A",220,1,65,"2B",70,220,4000,3585.9,4609.4,21,3.0952380952381
"55","7A",224,1,32,"2B",74,224,4098.5,3629.95,4700.1,24.5,1.30612244897959
"56","7A",228,1,27,"2B",78,228,4205,3673.85,4812.3,26,1.03846153846154
"57","7A",232,1,59,"2B",82,232,4294.5,3729.95,4933.2,20.5,2.8780487804878
"58","7A",236,1,34,"2B",86,236,4384.5,3797.75,5037.1,23.5,1.4468085106383
"59","7A",240,1,29,"2B",90,240,4471,3869.85,5140.6,24,1.20833333333333
"60","7A",244,1,27,"2B",94,244,4558,3962.8,5274,17.5,1.54285714285714
"61","7A",248,1,23,"2B",98,248,4646.5,4029.55,5342.55,23,1
"62","7A",252,1,36,"2B",102,252,4752.5,4103.95,5397.05,20.5,1.75609756097561
"63","7A",256,1,59,"2B",106,256,4847,4199.85,5471,35,1.68571428571429
"64","7A",260,1,27,"2B",110,260,4936.5,4303.15,5536.05,25.5,1.05882352941176
"65","7A",264,1,25,"2B",114,264,5025.5,4398.8,5605.3,23,1.08695652173913
